codigo_aeronave,codigo_operador,equipamento,fabricante,modelo,tipo_motor,quantidade_motores,peso_maximo_decolagem,quantidade_assentos,ano_fabricacao,pais_registro,categoria_aviacao,fase_operacao,tipo_operacao,nivel_dano,quantidade_fatalidades,classificacao,tipo,localidade,uf,pais,quantidade_recomendacoes,aeronaves_envolvidas,dia,mes,ano,periodo_mes,dia_semana,periodo_semana,hora,periodo_dia
7562,288,AVIÃO,CIA AERONAUTICA PAULISTA,CAP-4,PISTÃO,1.0,587,2.0,1948.0,BRASIL,INSTRUÇÃO,SUBIDA,INSTRUÇÃO,NENHUM,0,INCIDENTE GRAVE,FALHA DO MOTOR EM VOO,SOROCABA,SP,BRASIL,0,1,6,8,2011,inicio,5,fds,19,noite
7610,336,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1989.0,BRASIL,AGRÍCOLA,NAVEGAÇÃO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,RIO BRILHANTE,MS,BRASIL,9,1,14,10,2009,meio,2,semana,21,noite
7632,4159,AVIÃO,BEECH AIRCRAFT,58,PISTÃO,2.0,2449,6.0,1982.0,BRASIL,ADMINISTRAÇÃO DIRETA,CORRIDA APÓS POUSO,POLICIAL,LEVE,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,GARÇA,SP,BRASIL,0,1,21,9,2009,fim,0,semana,19,noite
7658,160,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C-1,PISTÃO,1.0,660,2.0,1962.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,2,ACIDENTE,PERDA DE CONTROLE EM VOO,BRAGANÇA PAULISTA,SP,BRASIL,9,1,15,11,2010,meio,0,semana,17,tarde
7681,158,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,COM TREM DE POUSO,BLUMENAU,SC,BRASIL,0,1,27,10,2011,fim,3,semana,19,noite
7681,158,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,BLUMENAU,SC,BRASIL,1,1,5,7,2015,inicio,6,fds,18,tarde
7681,158,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1992.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,BLUMENAU,SC,BRASIL,0,1,20,12,2009,meio,6,fds,22,noite
7710,3734,AVIÃO,CESSNA AIRCRAFT,A188A,PISTÃO,1.0,1497,1.0,1971.0,BRASIL,AGRÍCOLA,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,INCIDENTE GRAVE,COLISÃO EM VOO COM OBSTÁCULO,SÃO SEPÉ,RS,BRASIL,0,1,8,8,2012,inicio,2,semana,20,noite
7715,93,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,PISTÃO,1.0,1800,1.0,1975.0,BRASIL,AGRÍCOLA,NAVEGAÇÃO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,FELIZ NATAL,MT,BRASIL,4,1,17,12,2007,meio,0,semana,18,tarde
7717,160,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-C,PISTÃO,1.0,660,2.0,1961.0,BRASIL,INSTRUÇÃO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,BRAGANÇA PAULISTA,SP,BRASIL,0,1,20,2,2012,meio,0,semana,15,tarde
7730,3992,AVIÃO,CESSNA AIRCRAFT,T210N,PISTÃO,1.0,1814,6.0,1982.0,BRASIL,PARTICULAR,ARREMETIDA NO SOLO,PRIVADA,DESTRUÍDA,0,ACIDENTE,PERDA DE CONTROLE EM VOO,BORBA,AM,BRASIL,1,1,24,8,2006,fim,3,semana,14,tarde
7734,3992,AVIÃO,CESSNA AIRCRAFT,182P,PISTÃO,1.0,1338,4.0,1974.0,BRASIL,PARTICULAR,CRUZEIRO,PRIVADA,DESTRUÍDA,0,ACIDENTE,FALHA DO MOTOR EM VOO,APIACÁS,MT,BRASIL,0,1,21,3,2006,fim,1,semana,16,tarde
7780,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,PISTÃO,1.0,1315,4.0,1989.0,BRASIL,PARTICULAR,CRUZEIRO,PRIVADA,LEVE,0,ACIDENTE,FALHA DO MOTOR EM VOO,SERRANO DO MARANHÃO,MA,BRASIL,0,1,29,9,2013,fim,6,fds,11,manha
7787,3992,AVIÃO,CESSNA AIRCRAFT,210L,PISTÃO,1.0,1724,6.0,1974.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,NOVO PROGRESSO,PA,BRASIL,0,1,6,1,2008,inicio,6,fds,19,noite
7800,327,AVIÃO,CESSNA AIRCRAFT,170A,PISTÃO,1.0,998,4.0,1951.0,BRASIL,ESPECIALIZADA,OUTRA FASE,ESPECIALIZADA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,RECIFE,PE,BRASIL,0,1,21,1,2006,fim,5,fds,11,manha
7806,3992,AVIÃO,CESSNA AIRCRAFT,172RG,PISTÃO,1.0,1202,4.0,1981.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,COM TREM DE POUSO,GUARATINGUETÁ,SP,BRASIL,0,1,15,4,2012,meio,6,fds,20,noite
7819,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155,7.0,1985.0,BRASIL,PARTICULAR,CRUZEIRO,PRIVADA,DESTRUÍDA,6,ACIDENTE,FALHA ESTRUTURAL,CHAPADA DOS GUIMARÃES,MT,BRASIL,1,1,7,2,2007,inicio,2,semana,10,manha
7855,3992,AVIÃO,CESSNA AIRCRAFT,182P,PISTÃO,1.0,1338,5.0,1974.0,BRASIL,PARTICULAR,SUBIDA,PRIVADA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,ARAGUARI,MG,BRASIL,0,1,28,3,2015,fim,5,fds,18,tarde
7867,6009,AVIÃO,CHINCUL SACAIFI,PA-25-260,PISTÃO,1.0,1315,1.0,1992.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,ITARIRI,SP,BRASIL,0,1,13,8,2015,meio,3,semana,12,manha
7883,4244,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720D,PISTÃO,1.0,1633,7.0,1986.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,PAUINI,AM,BRASIL,0,1,30,9,2015,fim,2,semana,14,tarde
7933,5956,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,PISTÃO,1.0,622,2.0,1990.0,BRASIL,INSTRUÇÃO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,OSASCO,SP,BRASIL,0,1,11,7,2011,meio,0,semana,13,tarde
7985,3800,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,621,2.0,1989.0,BRASIL,INSTRUÇÃO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,RIO DE JANEIRO,RJ,BRASIL,0,1,16,2,2009,meio,0,semana,18,tarde
7991,3564,AVIÃO,PIPER AIRCRAFT,PA-25-235,PISTÃO,1.0,1315,1.0,1968.0,BRASIL,AGRÍCOLA,NAVEGAÇÃO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,GUARATUBA,PR,BRASIL,0,1,21,1,2006,fim,5,fds,13,tarde
7991,112,AVIÃO,PIPER AIRCRAFT,PA-25-235,PISTÃO,1.0,1315,1.0,1968.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,FALHA DE SISTEMA / COMPONENTE,MIRACATU,SP,BRASIL,1,1,31,1,2011,fim,0,semana,12,manha
8051,3992,AVIÃO,MAULE AIRCRAFT,M-7-235B,PISTÃO,1.0,1134,5.0,1995.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,BENTO GONÇALVES,RS,BRASIL,0,1,13,12,2015,meio,6,fds,20,noite
8132,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,1.0,1088,4.0,1994.0,BRASIL,PARTICULAR,CRUZEIRO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,LOANDA,PR,BRASIL,2,1,4,12,2009,inicio,4,semana,18,tarde
8165,4790,HELICÓPTERO,EUROCOPTER FRANCE,SA 365 N1,TURBOEIXO,2.0,4100,9.0,1990.0,BRASIL,ADMINISTRAÇÃO DIRETA,MANOBRA,POLICIAL,NENHUM,0,INCIDENTE GRAVE,PANE SECA,RIO DE JANEIRO,RJ,BRASIL,0,1,24,4,2013,fim,2,semana,18,tarde
8183,95,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,1.0,1905,1.0,1978.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,CACEQUI,RS,BRASIL,0,1,5,11,2007,inicio,0,semana,19,noite
8194,3992,HELICÓPTERO,HUGHES HELICOPTER,269A-1,PISTÃO,1.0,759,2.0,1964.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,DESTRUÍDA,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,MARICÁ,RJ,BRASIL,0,1,11,1,2011,meio,1,semana,15,tarde
8237,3821,AVIÃO,EMBRAER,EMB-110,TURBOÉLICE,2.0,5600,17.0,1976.0,BRASIL,TÁXI AÉREO,TÁXI,TÁXI AÉREO,LEVE,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,RIO DE JANEIRO,RJ,BRASIL,3,1,5,7,2007,inicio,3,semana,8,manha
8270,3660,AVIÃO,EMBRAER,EMB-110P1,TURBOÉLICE,2.0,5670,20.0,1981.0,BRASIL,REGULAR,SUBIDA,REGULAR,NENHUM,0,INCIDENTE GRAVE,VAZAMENTO DE OUTROS FLUÍDOS,SANTARÉM,PA,BRASIL,0,1,20,6,2007,meio,2,semana,15,tarde
8282,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-710C,PISTÃO,1.0,1361,4.0,1975.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,2,ACIDENTE,FALHA DO MOTOR EM VOO,LUZIÂNIA,GO,BRASIL,0,1,10,1,2015,inicio,5,fds,21,noite
8316,3433,HELICÓPTERO,HELIBRAS,AS 350 B2,TURBOEIXO,1.0,2250,6.0,1996.0,BRASIL,MÚLTIPLA,PAIRADO,NÃO REGULAR,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,ILHÉUS,BA,BRASIL,0,1,27,10,2013,fim,6,fds,19,noite
8343,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,1.0,1088,4.0,1997.0,BRASIL,PARTICULAR,CRUZEIRO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,COM COMANDOS DE VOO,ITAQUAQUECETUBA,SP,BRASIL,0,1,19,8,2012,meio,6,fds,18,tarde
8428,279,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1993.0,BRASIL,INSTRUÇÃO,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,SÃO JOSÉ DOS CAMPOS,SP,BRASIL,0,1,23,12,2008,fim,1,semana,16,tarde
8432,6067,HELICÓPTERO,BELL HELICOPTER,206B,TURBOEIXO,1.0,1451,5.0,1996.0,BRASIL,ADMINISTRAÇÃO DIRETA,NAVEGAÇÃO A BAIXA ALTURA,NÃO REGULAR,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,FLORIANÓPOLIS,SC,BRASIL,3,1,24,11,2009,fim,1,semana,16,tarde
8435,5037,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,PISTÃO,1.0,1800,1.0,1976.0,BRASIL,ESPECIALIZADA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,GUAPIAÇU,SP,BRASIL,1,1,17,2,2013,meio,6,fds,11,manha
8456,3705,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800,1.0,1994.0,BRASIL,ESPECIALIZADA,OUTRA FASE,AGRÍCOLA,LEVE,0,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,ARROIO GRANDE,RS,BRASIL,0,1,15,2,2012,meio,2,semana,13,tarde
8530,386,AVIÃO,CESSNA AIRCRAFT,U206G,PISTÃO,1.0,1633,6.0,1977.0,BRASIL,TÁXI AÉREO,APROXIMAÇÃO FINAL,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,AFUÁ,PA,BRASIL,0,1,16,5,2012,meio,2,semana,12,manha
8584,896,AVIÃO,CESSNA AIRCRAFT,402B,PISTÃO,2.0,2858,8.0,1973.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,INCIDENTE GRAVE,COM TREM DE POUSO,FORTALEZA,CE,BRASIL,0,1,20,6,2008,meio,4,semana,23,noite
8621,2022,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1987.0,BRASIL,AGRÍCOLA,APROXIMAÇÃO FINAL,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,URUÇUÍ,PI,BRASIL,0,1,14,3,2014,meio,4,semana,20,noite
8709,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,PISTÃO,1.0,1202,4.0,1976.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,LEVE,0,ACIDENTE,FALHA DO MOTOR EM VOO,RIO VERDE,GO,BRASIL,0,1,10,1,2009,inicio,5,fds,12,manha
8710,1543,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 B2,TURBOEIXO,1.0,2250,6.0,1985.0,BRASIL,INSTRUÇÃO,PAIRADO,POLICIAL,DESTRUÍDA,3,ACIDENTE,COM LANÇAMENTO DE CARGA,BRASÍLIA,DF,BRASIL,5,1,9,8,2007,inicio,3,semana,17,tarde
8720,3800,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,620,2.0,1988.0,BRASIL,INSTRUÇÃO,PAIRADO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,RIO DE JANEIRO,RJ,BRASIL,3,1,12,7,2010,meio,0,semana,19,noite
8739,4834,AVIÃO,AIRBUS INDUSTRIE,A319-132,JATO,2.0,64000,154.0,1999.0,BRASIL,REGULAR,SUBIDA,REGULAR,LEVE,0,INCIDENTE GRAVE,OUTROS TIPOS,RIO DE JANEIRO,RJ,BRASIL,10,1,17,6,2011,meio,4,semana,11,manha
8740,3992,AVIÃO,CESSNA AIRCRAFT,208,TURBOÉLICE,1.0,3629,10.0,1986.0,BRASIL,PARTICULAR,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0,ACIDENTE,OUTROS TIPOS,BOITUVA,SP,BRASIL,0,1,25,1,2013,fim,4,semana,17,tarde
8795,1658,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1989.0,BRASIL,ESPECIALIZADA,ESPECIALIZADA,ESPECIALIZADA,LEVE,0,INCIDENTE GRAVE,AERONAVE ATINGIDA POR OBJETO,BAGÉ,RS,BRASIL,0,1,17,5,2010,meio,0,semana,14,tarde
8815,3992,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800,1.0,2004.0,BRASIL,PARTICULAR,SUBIDA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,ALTO TAQUARI,MT,BRASIL,9,1,5,1,2008,inicio,5,fds,9,manha
8818,1231,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,PISTÃO,1.0,1800,1.0,1985.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,TAPIRA,PR,BRASIL,1,1,5,2,2015,inicio,3,semana,10,manha
8821,5679,AVIÃO,CESSNA AIRCRAFT,150J,PISTÃO,1.0,726,2.0,1969.0,BRASIL,INSTRUÇÃO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,RIO CLARO,SP,BRASIL,1,1,14,10,2013,meio,0,semana,15,tarde
8846,3261,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155,6.0,1988.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,POUSO SEM TREM,LUZIÂNIA,GO,BRASIL,0,1,5,11,2012,inicio,0,semana,11,manha
8846,1731,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155,6.0,1988.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,CAMPO GRANDE,MS,BRASIL,2,1,31,1,2008,fim,3,semana,22,noite
8855,3800,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,590,2.0,1997.0,BRASIL,INSTRUÇÃO,APROXIMAÇÃO FINAL,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,RIO DE JANEIRO,RJ,BRASIL,0,1,17,3,2008,meio,0,semana,14,tarde
8855,3800,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,590,2.0,1997.0,BRASIL,INSTRUÇÃO,INDETERMINADA,INSTRUÇÃO,NENHUM,2,ACIDENTE,INDETERMINADA,RIO DE JANEIRO,RJ,BRASIL,0,1,18,2,2014,meio,1,semana,13,tarde
8855,3800,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,590,2.0,1997.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,RIO DE JANEIRO,RJ,BRASIL,4,1,21,8,2009,fim,4,semana,11,manha
8925,3992,AVIÃO,CESSNA AIRCRAFT,U206F,PISTÃO,1.0,1633,6.0,1974.0,BRASIL,PARTICULAR,SUBIDA,PRIVADA,SUBSTANCIAL,2,ACIDENTE,INDETERMINADA,CAMPO GRANDE,MS,BRASIL,0,1,6,12,2014,inicio,5,fds,10,manha
8939,3992,AVIÃO,CESSNA AIRCRAFT,210N,PISTÃO,1.0,1724,6.0,1984.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,INCIDENTE GRAVE,POUSO SEM TREM,VARGINHA,MG,BRASIL,0,1,12,10,2013,meio,5,fds,12,manha
8957,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,1.0,1088,4.0,1997.0,BRASIL,PARTICULAR,POUSO,PRIVADA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,NOVO GAMA,GO,BRASIL,1,1,25,9,2010,fim,5,fds,16,tarde
8957,3992,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,1.0,1088,4.0,1997.0,BRASIL,PARTICULAR,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,BURITAMA,SP,BRASIL,0,1,14,12,2014,meio,6,fds,23,noite
9012,1232,AVIÃO,EMBRAER,EMB-810C,PISTÃO,2.0,2073,6.0,1980.0,BRASIL,TÁXI AÉREO,DESCIDA,TÁXI AÉREO,DESTRUÍDA,2,ACIDENTE,FALHA DO MOTOR EM VOO,SÃO MIGUEL DO TAPUIO,PI,BRASIL,0,1,9,4,2008,inicio,2,semana,21,noite
9035,3992,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PISTÃO,2.0,2155,7.0,1997.0,BRASIL,PARTICULAR,DESCIDA,PRIVADA,DESTRUÍDA,2,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,SÃO PAULO,SP,BRASIL,0,1,2,1,2006,inicio,0,semana,11,manha
9036,90,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,1.0,1905,1.0,1974.0,BRASIL,AGRÍCOLA,NAVEGAÇÃO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,MANOBRAS A BAIXA ALTURA,GUAÍBA,RS,BRASIL,0,1,12,1,2006,meio,3,semana,20,noite
9049,3992,HELICÓPTERO,BELL HELICOPTER,206B,TURBOEIXO,1.0,1452,5.0,1990.0,BRASIL,PARTICULAR,INDETERMINADA,PRIVADA,SUBSTANCIAL,2,ACIDENTE,COLISÃO EM VOO COM OBSTÁCULO,SANTO ANTÔNIO DA PATRULHA,RS,BRASIL,0,1,11,2,2006,meio,5,fds,19,noite
9051,859,AVIÃO,PIPER AIRCRAFT,PA-25-260,PISTÃO,1.0,1315,1.0,1976.0,BRASIL,AGRÍCOLA,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,NOVO HORIZONTE,SP,BRASIL,0,1,16,1,2006,meio,0,semana,14,tarde
9052,4157,HELICÓPTERO,BELL HELICOPTER,206B,TURBOEIXO,1.0,1452,5.0,1986.0,BRASIL,ADMINISTRAÇÃO DIRETA,MANOBRA,POLICIAL,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE EM VOO,BELO HORIZONTE,MG,BRASIL,0,1,1,2,2006,inicio,2,semana,16,tarde
9054,222,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1991.0,BRASIL,INSTRUÇÃO,TÁXI,INSTRUÇÃO,SUBSTANCIAL,0,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,MARINGÁ,PR,BRASIL,0,1,13,9,2013,meio,4,semana,13,tarde
9054,222,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1991.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,LEVE,0,INCIDENTE GRAVE,PERDA DE COMPONENTE NO SOLO,MARINGÁ,PR,BRASIL,0,1,9,11,2014,inicio,6,fds,17,tarde
9054,222,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1991.0,BRASIL,INSTRUÇÃO,MANOBRA,INSTRUÇÃO,NENHUM,0,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,MARINGÁ,PR,BRASIL,1,1,23,4,2013,fim,1,semana,17,tarde
9054,222,AVIÃO,AERO BOERO,AB-115,PISTÃO,1.0,770,2.0,1991.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,MARINGÁ,PR,BRASIL,1,1,6,4,2015,inicio,0,semana,21,noite
9055,4635,AVIÃO,PIPER AIRCRAFT,PA-25-235,PISTÃO,1.0,1315,1.0,1969.0,BRASIL,AGRÍCOLA,CIRCUITO DE TRÁFEGO,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,LUIZ ALVES,SC,BRASIL,0,1,18,2,2006,meio,5,fds,10,manha
9055,4635,AVIÃO,PIPER AIRCRAFT,PA-25-235,PISTÃO,1.0,1315,1.0,1969.0,BRASIL,ESPECIALIZADA,NAVEGAÇÃO A BAIXA ALTURA,ESPECIALIZADA,SUBSTANCIAL,0,ACIDENTE,PANE SECA,ILHOTA,SC,BRASIL,4,1,17,12,2009,meio,3,semana,9,manha
9064,218,AVIÃO,PIPER AIRCRAFT,PA-30,PISTÃO,2.0,1633,6.0,1969.0,BRASIL,INSTRUÇÃO,MANOBRA,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,COM HÉLICE,PRESIDENTE VENCESLAU,SP,BRASIL,0,1,1,6,2013,inicio,5,fds,17,tarde
9074,1049,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800,1.0,1994.0,BRASIL,AGRÍCOLA,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,IVATÉ,PR,BRASIL,7,1,16,11,2010,meio,1,semana,10,manha
9074,1049,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,PISTÃO,1.0,1800,1.0,1994.0,BRASIL,AGRÍCOLA,POUSO,AGRÍCOLA,SUBSTANCIAL,0,ACIDENTE,COLISÃO COM OBSTÁCULO NO SOLO,QUERÊNCIA DO NORTE,PR,BRASIL,0,1,18,2,2006,meio,5,fds,11,manha
9075,1378,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155,7.0,1988.0,BRASIL,TÁXI AÉREO,POUSO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,COM TREM DE POUSO,MANAUS,AM,BRASIL,0,1,3,3,2006,inicio,4,semana,19,noite
9075,1378,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-810D,PISTÃO,2.0,2155,7.0,1988.0,BRASIL,TÁXI AÉREO,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,JURUÁ,AM,BRASIL,0,1,21,8,2012,fim,1,semana,18,tarde
9077,2463,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,590,2.0,2001.0,BRASIL,INSTRUÇÃO,POUSO,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,PERDA DE CONTROLE NO SOLO,MARICÁ,RJ,BRASIL,0,1,22,11,2012,fim,3,semana,11,manha
9077,1928,HELICÓPTERO,ROBINSON HELICOPTER,R22,PISTÃO,1.0,590,2.0,2001.0,BRASIL,INSTRUÇÃO,INDETERMINADA,INSTRUÇÃO,SUBSTANCIAL,0,ACIDENTE,FALHA DO MOTOR EM VOO,PIRAQUARA,PR,BRASIL,1,1,15,3,2006,meio,2,semana,11,manha
9081,4834,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,2.0,77000,184.0,1997.0,BRASIL,REGULAR,OUTRA FASE,REGULAR,LEVE,0,INCIDENTE GRAVE,OUTROS TIPOS,SÃO JOSÉ DOS CAMPOS,SP,BRASIL,0,1,26,3,2008,fim,2,semana,19,noite
